id,name,email,blood_group,dob,country,state,country_code,district,address,aadhar_id,phone_num,donated_on,blood_pressure,cardio_vascular_cond,abdomen,pulse_rate,physical_cond,respiratory_sys,resp_rate
133,Lanae Wenda,Lanae.Wenda@yopmail.com,B-,09-08-1996,india,tamilnadu,91,dharmapuri,"4619 , dharmapuri , tamilnadu , india",2.78674E+11,1844311512,02-11-2011,"110,80",,soft,74,,,21
134,Annora Paton,Annora.Paton@yopmail.com,O+,27-02-1981,india,tamilnadu,91,chennai,"4254 , chennai , tamilnadu , india",7.34304E+11,7978348362,05-09-2005,,,soft,78,fit,,22
135,Sophia Astra,Sophia.Astra@yopmail.com,A+,21-02-1997,india,tamilnadu,91,dharmapuri,"9482 , dharmapuri , tamilnadu , india",9.71263E+11,7890126942,15-09-2012,,,,82,fit,normal,20
136,Florencia Dex,Florencia.Dex@yopmail.com,O+,09-04-1974,india,tamilnadu,91,dharmapuri,"1469 , dharmapuri , tamilnadu , india",7.79789E+11,8268929313,11-07-2001,,normal,,75,fit,,22
137,Marika Glenden,Marika.Glenden@yopmail.com,AB-,30-10-1984,india,tamilnadu,91,salem,"6684 , salem , tamilnadu , india",5.86664E+11,5986084592,01-12-2018,"110,70",normal,,83,,normal,22
138,Miquela Hilbert,Miquela.Hilbert@yopmail.com,AB-,09-09-1994,india,tamilnadu,91,chennai,"1862 , chennai , tamilnadu , india",1.55182E+11,5980404755,16-02-2015,"110,70",,,79,fit,,20
139,Jaime Decato,Jaime.Decato@yopmail.com,H+,21-01-1972,india,tamilnadu,91,dharmapuri,"7216 , dharmapuri , tamilnadu , india",2.88882E+11,7139711766,03-05-2006,"110,70",,,76,fit,,21
140,Krystle Shanley,Krystle.Shanley@yopmail.com,O+,23-05-1986,india,tamilnadu,91,chennai,"4547 , chennai , tamilnadu , india",2.56544E+11,6756038769,09-12-2007,,normal,soft,73,,normal,21
141,Siana Darrell,Siana.Darrell@yopmail.com,AB+,06-01-1978,india,tamilnadu,91,dharmapuri,"4020 , dharmapuri , tamilnadu , india",9.62544E+11,8713606436,16-07-2007,"110,80",,,82,,normal,22
142,Steffane Trace,Steffane.Trace@yopmail.com,O-,01-04-1984,india,tamilnadu,91,krishnagiri,"8695 , krishnagiri , tamilnadu , india",9.89741E+11,2192984354,12-01-2015,"110,70",normal,,83,,,20
143,Bernie Neils,Bernie.Neils@yopmail.com,B+,12-08-1994,india,tamilnadu,91,krishnagiri,"8919 , krishnagiri , tamilnadu , india",4.01679E+11,5145900952,30-01-2001,"110,80",,,83,,,22
144,Kellen Bluh,Kellen.Bluh@yopmail.com,O+,13-07-1978,india,tamilnadu,91,dharmapuri,"9483 , dharmapuri , tamilnadu , india",4.78068E+11,9349026215,22-06-2009,,,,74,,,20
145,Steffane Edvard,Steffane.Edvard@yopmail.com,AB+,10-01-1987,india,tamilnadu,91,dharmapuri,"3307 , dharmapuri , tamilnadu , india",5.47629E+11,7065413898,15-11-2018,"110,70",normal,,75,,normal,20
146,Ulrike Elephus,Ulrike.Elephus@yopmail.com,A+,14-07-1994,india,tamilnadu,91,salem,"6958 , salem , tamilnadu , india",6.5617E+11,7441170020,11-07-2008,,,,75,,,21
147,Karolina Dawkins,Karolina.Dawkins@yopmail.com,O-,14-11-1983,india,tamilnadu,91,chennai,"6406 , chennai , tamilnadu , india",3.67404E+11,1640017974,18-01-2006,,normal,,77,,normal,22
148,Jany Briney,Jany.Briney@yopmail.com,Bombay,12-07-1977,india,tamilnadu,91,dharmapuri,"1437 , dharmapuri , tamilnadu , india",4.88419E+11,3578179026,21-02-2016,,normal,soft,78,fit,normal,22
149,Jennica Adlare,Jennica.Adlare@yopmail.com,AB-,14-12-1970,india,tamilnadu,91,krishnagiri,"1252 , krishnagiri , tamilnadu , india",2.50823E+11,7585663788,21-12-2015,,normal,,76,,,21
150,Christal Jorgan,Christal.Jorgan@yopmail.com,AB+,05-08-1974,india,tamilnadu,91,salem,"1749 , salem , tamilnadu , india",2.48917E+11,1103253254,26-01-2015,"110,70",normal,soft,79,,normal,22
151,Addia Septima,Addia.Septima@yopmail.com,A+,14-07-1994,india,tamilnadu,91,chennai,"2775 , chennai , tamilnadu , india",2.62644E+11,1314448654,29-06-2011,,,,77,,,21
152,Agathe Gualtiero,Agathe.Gualtiero@yopmail.com,O-,12-09-1985,india,tamilnadu,91,salem,"7711 , salem , tamilnadu , india",6.57564E+11,1914013431,23-03-2016,,normal,,78,,,20
153,Lusa Lucienne,Lusa.Lucienne@yopmail.com,A+,19-06-1990,india,tamilnadu,91,salem,"4072 , salem , tamilnadu , india",8.37775E+11,7011609440,20-09-2005,,,,84,,normal,22
154,Oralee Bakerman,Oralee.Bakerman@yopmail.com,B+,26-06-1973,india,tamilnadu,91,dharmapuri,"4180 , dharmapuri , tamilnadu , india",3.64243E+11,3584365700,26-03-2008,"110,80",normal,soft,83,,,22
155,Basia Norvol,Basia.Norvol@yopmail.com,AB-,11-05-1989,india,tamilnadu,91,chennai,"4274 , chennai , tamilnadu , india",4.04552E+11,4337543905,11-12-2000,"110,70",,,75,,,21
156,Millie Linehan,Millie.Linehan@yopmail.com,AB-,27-04-1981,india,tamilnadu,91,salem,"7808 , salem , tamilnadu , india",4.51592E+11,5862190657,02-01-2019,"110,80",normal,,73,,normal,20
157,Emylee Janith,Emylee.Janith@yopmail.com,Bombay,02-03-1995,india,tamilnadu,91,krishnagiri,"8739 , krishnagiri , tamilnadu , india",8.24209E+11,3575866250,22-06-2003,"110,80",,,83,fit,normal,20
158,Elie Prouty,Elie.Prouty@yopmail.com,H+,12-11-1984,india,tamilnadu,91,chennai,"5058 , chennai , tamilnadu , india",6.41306E+11,4899169945,20-09-2000,"110,80",,soft,76,,,20
159,Louella Malanie,Louella.Malanie@yopmail.com,H+,18-09-1997,india,tamilnadu,91,chennai,"4017 , chennai , tamilnadu , india",1.08722E+11,7653036912,06-07-2016,,,soft,72,fit,normal,20
160,Rebeca Hurley,Rebeca.Hurley@yopmail.com,A+,23-01-1999,india,tamilnadu,91,salem,"1901 , salem , tamilnadu , india",7.38616E+11,5366910830,06-12-2014,,,,72,fit,,21
161,Bettine Bashemeth,Bettine.Bashemeth@yopmail.com,O+,24-11-1988,india,tamilnadu,91,chennai,"6873 , chennai , tamilnadu , india",3.38334E+11,5132610964,29-07-2006,,,,73,fit,,20
162,Elfreda Eldrid,Elfreda.Eldrid@yopmail.com,B+,11-03-1983,india,tamilnadu,91,krishnagiri,"3274 , krishnagiri , tamilnadu , india",7.46476E+11,7677791011,20-06-2013,"110,80",,soft,72,,normal,20
163,Shirlee Obed,Shirlee.Obed@yopmail.com,AB-,13-09-1980,india,tamilnadu,91,chennai,"7534 , chennai , tamilnadu , india",5.01873E+11,7732808172,14-06-2011,,,,73,,normal,21
164,Cathyleen Zenas,Cathyleen.Zenas@yopmail.com,A+,23-02-1996,india,tamilnadu,91,dharmapuri,"6879 , dharmapuri , tamilnadu , india",4.1095E+11,3210974705,01-06-2018,"110,70",,soft,74,,,20
165,Dotty Breed,Dotty.Breed@yopmail.com,B-,30-09-1986,india,tamilnadu,91,salem,"7551 , salem , tamilnadu , india",9.73744E+11,3783305190,16-01-2000,"110,70",normal,,73,,,21
166,Lanae Catie,Lanae.Catie@yopmail.com,O+,31-07-1996,india,tamilnadu,91,salem,"2557 , salem , tamilnadu , india",8.36689E+11,1040949750,08-11-2009,,,soft,72,,,20
167,Winifred Docilla,Winifred.Docilla@yopmail.com,O+,19-05-1980,india,tamilnadu,91,chennai,"7380 , chennai , tamilnadu , india",1.38868E+11,2011149531,27-09-2011,"110,80",normal,soft,72,,,21
168,Audrie Fax,Audrie.Fax@yopmail.com,AB+,28-07-1996,india,tamilnadu,91,chennai,"145 , chennai , tamilnadu , india",3.93626E+11,1099662641,01-11-2018,"110,70",,soft,73,,,20
169,Dotty Euridice,Dotty.Euridice@yopmail.com,B-,31-12-1982,india,tamilnadu,91,krishnagiri,"1029 , krishnagiri , tamilnadu , india",2.14572E+11,3880506242,05-01-2001,,,,76,,normal,21
170,Robinia Remmer,Robinia.Remmer@yopmail.com,B-,06-07-1991,india,tamilnadu,91,dharmapuri,"6683 , dharmapuri , tamilnadu , india",7.01984E+11,8685131636,09-06-2004,,normal,,83,,normal,21
171,Mariann Rosemary,Mariann.Rosemary@yopmail.com,O+,06-10-1991,india,tamilnadu,91,salem,"2017 , salem , tamilnadu , india",1.31273E+11,3581076257,23-10-2003,"110,70",,,77,,,21
172,Mireielle Mayeda,Mireielle.Mayeda@yopmail.com,H+,02-08-1972,india,tamilnadu,91,chennai,"7934 , chennai , tamilnadu , india",4.14283E+11,4510412865,01-01-2017,"110,70",,,80,fit,normal,20
173,Wanda Truc,Wanda.Truc@yopmail.com,B-,01-11-1983,india,tamilnadu,91,chennai,"1638 , chennai , tamilnadu , india",6.84734E+11,1487690559,26-05-2000,"110,80",normal,,81,,,20
174,Ileana Gualtiero,Ileana.Gualtiero@yopmail.com,O+,16-09-1993,india,tamilnadu,91,salem,"4742 , salem , tamilnadu , india",2.84531E+11,2108167881,26-08-2001,"110,70",normal,,81,,normal,20
175,Corina Sisile,Corina.Sisile@yopmail.com,A-,06-12-1999,india,tamilnadu,91,salem,"9756 , salem , tamilnadu , india",9.10748E+11,5038171275,04-03-2005,"110,70",,soft,82,,normal,20
176,Harmonia Brenn,Harmonia.Brenn@yopmail.com,A+,28-01-1983,india,tamilnadu,91,chennai,"2154 , chennai , tamilnadu , india",3.97602E+11,8531183417,03-10-2009,,normal,soft,73,,normal,21
177,Marylou Ogren,Marylou.Ogren@yopmail.com,Bombay,21-08-1991,india,tamilnadu,91,dharmapuri,"7226 , dharmapuri , tamilnadu , india",1.44296E+11,1797004069,08-01-2012,"110,70",,,73,,normal,22
178,Katharina Lareena,Katharina.Lareena@yopmail.com,H+,30-12-1972,india,tamilnadu,91,krishnagiri,"6446 , krishnagiri , tamilnadu , india",9.58356E+11,7170491575,06-10-2013,,normal,,82,,,21
179,Damaris Even,Damaris.Even@yopmail.com,O+,25-02-1987,india,tamilnadu,91,salem,"3571 , salem , tamilnadu , india",6.82276E+11,9900847322,20-07-2017,,,,76,,,20
180,Shirlee Oneida,Shirlee.Oneida@yopmail.com,B-,03-02-1978,india,tamilnadu,91,dharmapuri,"7654 , dharmapuri , tamilnadu , india",9.93496E+11,1841224610,18-05-2005,,,,84,fit,normal,22
181,Sallie Vastah,Sallie.Vastah@yopmail.com,AB+,14-01-1977,india,tamilnadu,91,salem,"1067 , salem , tamilnadu , india",8.02638E+11,1243097019,28-06-2005,,,,74,,,20
182,Morganica Yerkovich,Morganica.Yerkovich@yopmail.com,H+,29-10-1988,india,tamilnadu,91,chennai,"1724 , chennai , tamilnadu , india",1.83515E+11,7974087816,03-04-2009,,,soft,72,fit,normal,22
183,Juliane Dosia,Juliane.Dosia@yopmail.com,B+,18-06-1989,india,tamilnadu,91,chennai,"2310 , chennai , tamilnadu , india",1.19878E+11,2474511236,23-10-2004,,,soft,76,,,22
184,Marita Graig,Marita.Graig@yopmail.com,AB-,24-07-1975,india,tamilnadu,91,dharmapuri,"1730 , dharmapuri , tamilnadu , india",7.31132E+11,9452090588,06-02-2003,,,,84,,,21
185,Susan Brandice,Susan.Brandice@yopmail.com,AB+,13-06-1990,india,tamilnadu,91,dharmapuri,"7606 , dharmapuri , tamilnadu , india",1.08235E+11,6807029995,06-01-2003,,,,82,,,20
186,Reeba Tjon,Reeba.Tjon@yopmail.com,AB+,06-08-1972,india,tamilnadu,91,krishnagiri,"2812 , krishnagiri , tamilnadu , india",2.05337E+11,9104647238,18-06-2017,,normal,,75,,normal,20
187,Brianna Kenney,Brianna.Kenney@yopmail.com,B-,14-04-1985,india,tamilnadu,91,salem,"4757 , salem , tamilnadu , india",7.80904E+11,7991353210,08-03-2017,"110,80",,,81,fit,,22
188,Estell Isacco,Estell.Isacco@yopmail.com,O+,28-01-1989,india,tamilnadu,91,dharmapuri,"6949 , dharmapuri , tamilnadu , india",2.03027E+11,2447551213,24-03-2016,,,soft,72,,normal,22
189,Ira Lorain,Ira.Lorain@yopmail.com,O+,09-03-1984,india,tamilnadu,91,krishnagiri,"559 , krishnagiri , tamilnadu , india",3.44192E+11,5062421459,23-09-2016,"110,70",normal,,81,,,22
190,Lucy Morrill,Lucy.Morrill@yopmail.com,A-,17-03-1977,india,tamilnadu,91,krishnagiri,"4621 , krishnagiri , tamilnadu , india",8.90642E+11,4773337004,17-04-2002,,normal,soft,84,fit,,22
191,Tilly Chabot,Tilly.Chabot@yopmail.com,B+,15-05-1996,india,tamilnadu,91,krishnagiri,"4097 , krishnagiri , tamilnadu , india",6.55511E+11,6436243715,05-04-2013,"110,80",,soft,80,,,22
192,Lizzie Jena,Lizzie.Jena@yopmail.com,B+,26-01-1997,india,tamilnadu,91,salem,"9052 , salem , tamilnadu , india",3.73124E+11,1110289928,09-11-2019,,,,73,,,20
193,Elyssa Audly,Elyssa.Audly@yopmail.com,A+,21-08-1979,india,tamilnadu,91,chennai,"2180 , chennai , tamilnadu , india",9.8972E+11,7230127250,12-10-2001,"110,80",,,74,,,21
194,Codie Podvin,Codie.Podvin@yopmail.com,Bombay,22-07-1994,india,tamilnadu,91,krishnagiri,"4983 , krishnagiri , tamilnadu , india",1.22675E+11,2954396224,20-12-2005,,normal,soft,72,,,22
195,Charlena Sawtelle,Charlena.Sawtelle@yopmail.com,AB-,10-04-1978,india,tamilnadu,91,dharmapuri,"5019 , dharmapuri , tamilnadu , india",7.87973E+11,8103753825,12-04-2006,"110,80",,soft,75,,normal,21
196,Doro O'Carroll,Doro.O'Carroll@yopmail.com,B-,13-05-1995,india,tamilnadu,91,salem,"5024 , salem , tamilnadu , india",7.29547E+11,6922648373,24-12-2003,,,,76,,,20
197,Jessamyn Hilbert,Jessamyn.Hilbert@yopmail.com,AB+,02-03-1981,india,tamilnadu,91,chennai,"6132 , chennai , tamilnadu , india",4.45001E+11,8943280560,04-12-2016,,,,80,,,21
198,Kirbee Talia,Kirbee.Talia@yopmail.com,AB+,11-08-1994,india,tamilnadu,91,salem,"4824 , salem , tamilnadu , india",6.38468E+11,1093128315,31-10-2001,"110,70",,,79,fit,,21
199,Genevra Seagraves,Genevra.Seagraves@yopmail.com,B+,22-08-1974,india,tamilnadu,91,chennai,"6991 , chennai , tamilnadu , india",8.78504E+11,9459713653,11-05-2006,,,,77,,,21
200,Shel Reidar,Shel.Reidar@yopmail.com,O+,09-04-1983,india,tamilnadu,91,dharmapuri,"2383 , dharmapuri , tamilnadu , india",9.52304E+11,5700156415,19-01-2006,,normal,soft,82,,,22
201,Gale Bari,Gale.Bari@yopmail.com,A+,07-10-1988,india,tamilnadu,91,dharmapuri,"1950 , dharmapuri , tamilnadu , india",5.25924E+11,1770267410,04-05-2006,,,,80,,normal,21
202,Selma Soneson,Selma.Soneson@yopmail.com,AB+,23-11-1989,india,tamilnadu,91,dharmapuri,"1811 , dharmapuri , tamilnadu , india",8.69809E+11,8706557467,21-07-2008,"110,80",,,84,fit,,22
203,Sidoney Kirstin,Sidoney.Kirstin@yopmail.com,A+,07-08-1994,india,tamilnadu,91,chennai,"195 , chennai , tamilnadu , india",6.16544E+11,7320356398,09-09-2010,,,soft,78,,normal,22
204,Tani Oster,Tani.Oster@yopmail.com,O-,10-08-1988,india,tamilnadu,91,chennai,"6224 , chennai , tamilnadu , india",4.65656E+11,3207218534,09-07-2012,,,soft,83,,,20
205,Merci Wolfgram,Merci.Wolfgram@yopmail.com,B-,05-02-1977,india,tamilnadu,91,krishnagiri,"6800 , krishnagiri , tamilnadu , india",2.63473E+11,9320241802,04-01-2008,,,soft,80,,normal,22
206,June Jehu,June.Jehu@yopmail.com,B-,10-01-1990,india,tamilnadu,91,salem,"4761 , salem , tamilnadu , india",4.09808E+11,3735124092,28-04-2002,"110,80",normal,,72,,,20
207,Ethel Linehan,Ethel.Linehan@yopmail.com,B-,12-06-1986,india,tamilnadu,91,krishnagiri,"6546 , krishnagiri , tamilnadu , india",3.78278E+11,8468906305,19-12-2003,,,,82,,,20
208,Phylis Gabrielli,Phylis.Gabrielli@yopmail.com,B-,28-02-1993,india,tamilnadu,91,dharmapuri,"9955 , dharmapuri , tamilnadu , india",5.31278E+11,9440427315,02-04-2002,"110,70",,,83,,normal,22
209,Cissiee Isacco,Cissiee.Isacco@yopmail.com,AB+,28-03-1999,india,tamilnadu,91,salem,"7004 , salem , tamilnadu , india",8.0226E+11,9639460151,19-10-2008,,normal,,77,,normal,20
210,Melisent Bord,Melisent.Bord@yopmail.com,B+,05-10-1975,india,tamilnadu,91,krishnagiri,"7640 , krishnagiri , tamilnadu , india",7.87197E+11,2138397239,06-09-2008,"110,70",,soft,78,,normal,20
211,Lorne Luhe,Lorne.Luhe@yopmail.com,O+,09-06-1975,india,tamilnadu,91,krishnagiri,"2336 , krishnagiri , tamilnadu , india",7.86871E+11,4448467417,07-08-2014,"110,70",normal,,74,,,22
212,Shaylyn Jalbert,Shaylyn.Jalbert@yopmail.com,A-,07-04-1974,india,tamilnadu,91,salem,"2191 , salem , tamilnadu , india",4.76227E+11,3372886070,14-06-2018,,normal,,75,fit,,22
213,Wanda Ajay,Wanda.Ajay@yopmail.com,A-,09-12-1971,india,tamilnadu,91,dharmapuri,"1771 , dharmapuri , tamilnadu , india",4.53429E+11,9501763308,16-01-2006,,,soft,77,,,21
214,Joy Jenness,Joy.Jenness@yopmail.com,H+,22-04-1980,india,tamilnadu,91,krishnagiri,"7671 , krishnagiri , tamilnadu , india",8.10691E+11,3558103477,17-12-2013,,normal,,82,,,22
215,Mariann Amadas,Mariann.Amadas@yopmail.com,Bombay,10-03-1983,india,tamilnadu,91,krishnagiri,"3874 , krishnagiri , tamilnadu , india",8.9185E+11,6260908454,26-08-2011,"110,70",normal,,72,fit,,21
216,Aurore Ulphia,Aurore.Ulphia@yopmail.com,B+,10-12-1970,india,tamilnadu,91,dharmapuri,"3697 , dharmapuri , tamilnadu , india",9.47911E+11,2270678852,03-07-2011,"110,70",,,83,,,22
217,Kary Naor,Kary.Naor@yopmail.com,Bombay,06-08-1987,india,tamilnadu,91,krishnagiri,"8059 , krishnagiri , tamilnadu , india",6.13851E+11,2756134971,05-01-2006,,,,84,,,21
218,Kerrin Swigart,Kerrin.Swigart@yopmail.com,A+,10-11-1981,india,tamilnadu,91,krishnagiri,"4147 , krishnagiri , tamilnadu , india",2.3092E+11,5838201629,02-12-2014,"110,80",normal,,83,,,21
219,Nataline Sancho,Nataline.Sancho@yopmail.com,A+,13-05-1989,india,tamilnadu,91,chennai,"7685 , chennai , tamilnadu , india",1.04303E+11,1661116074,11-01-2013,"110,80",,soft,84,,normal,22
220,Celisse Jacqui,Celisse.Jacqui@yopmail.com,A+,03-02-1988,india,tamilnadu,91,salem,"3420 , salem , tamilnadu , india",5.64244E+11,2820182317,04-12-2007,,,,80,,,21
221,Natka Middleton,Natka.Middleton@yopmail.com,O+,28-11-1977,india,tamilnadu,91,salem,"1342 , salem , tamilnadu , india",2.51442E+11,4970149440,17-07-2017,"110,80",,soft,82,fit,,20
222,Vevay Glenden,Vevay.Glenden@yopmail.com,B+,09-03-1972,india,tamilnadu,91,dharmapuri,"4980 , dharmapuri , tamilnadu , india",6.14889E+11,4115616685,21-07-2007,"110,80",normal,,83,,normal,20
223,Claresta Edison,Claresta.Edison@yopmail.com,A+,11-09-1986,india,tamilnadu,91,dharmapuri,"2199 , dharmapuri , tamilnadu , india",5.85054E+11,3885107321,08-04-2019,,,soft,79,,,20
224,Cindelyn Carey,Cindelyn.Carey@yopmail.com,B+,29-09-1997,india,tamilnadu,91,dharmapuri,"7042 , dharmapuri , tamilnadu , india",9.906E+11,2679104019,05-08-2003,,,,81,,,20
225,Fanny Shanley,Fanny.Shanley@yopmail.com,O-,15-06-1977,india,tamilnadu,91,chennai,"7019 , chennai , tamilnadu , india",9.82495E+11,4267772882,10-06-2011,"110,70",,,77,,,22
226,Darlleen Hanshaw,Darlleen.Hanshaw@yopmail.com,A+,28-03-1994,india,tamilnadu,91,dharmapuri,"5192 , dharmapuri , tamilnadu , india",8.29658E+11,8856071732,20-12-2003,"110,70",,,77,,,22
227,Britte Wesle,Britte.Wesle@yopmail.com,A+,16-01-1996,india,tamilnadu,91,dharmapuri,"563 , dharmapuri , tamilnadu , india",5.87308E+11,2110695909,09-01-2005,,,,74,,,21
228,Daryl Ammann,Daryl.Ammann@yopmail.com,AB+,20-10-1991,india,tamilnadu,91,salem,"8920 , salem , tamilnadu , india",3.15662E+11,1171057199,26-07-2019,"110,70",,,83,,normal,20
